_orig_id	title	lang_meta_detected	Structural_length	Structural_completeness	Structural_noise	Structural_formatting	Structural_Total_Raw	Structural_Score_0_25	Semantic_clarity	Semantic_usefulness	Semantic_information_density	Semantic_consistency	Semantic_Total_Raw	Semantic_Score_0_25	Domain_term_density	Domain_in_title	Domain_in_keywords	Domain_consistency	Domain_Total_Raw	Domain_Score_0_25	Domain_terms_in_title	Domain_terms_in_content	Domain_terms_in_keywords	Functional_BM25_readiness	Functional_embedding_readiness	Functional_RAG_readiness	Functional_keyword_indexability	Functional_Total_Raw	Functional_Score_0_25	Functional_keywords_in_content	Total_Quality_0_100	Notes
68650ce67807d9bc7a0b3d82	Women Innovators in Ireland - Rural Fact Sheet #038	en	5	5	5	5	20	25	5	1	5	2	13	16	0	1	1	0	2	2				2.0	3	2	4	11.0	14	innovation;social	57	
69171bd6c599337520a22085	Autonomous Precision Spraying for Sustainable Berry Farming: Reducing Chemical Inputs with AI-Driven Pest Control	en	1	5	5	1	12	15	5	1	5	0	11	14	0	1	1	0	2	2				0.0	2	0	1	3.0	4		35	
686510f77807d9bc7a0b3dab	Women Innovators in Ireland - Farming Fact Sheet #043	en	5	5	4	5	19	24	5	1	5	2	13	16	0	1	1	0	2	2				2.5	3	3	5	13.5	17	food;rural;sustainable	59	
66f679eebbc2ce0fcc43d213	OPTIMA DSS for Alternaria detection in carrots	en	5	5	3	4	17	21	1	2	5	2	10	12	2	1	1	1	5	6		crops		2.0	3	2	5	12.0	15	alternaria;apple;blight;carrots;data;disease;downy;dss;france;greece;ipm;italy;leaf;meteorological;mildew;optima;prediction;scab;spain;tool;vineyards	54	
6716b2ef8c91d2f819cc3ba5	WP2 Community of Practice	en	1	5	2	5	13	16	3	5	4	1	13	16	4	1	5	1	11	14		animal;animal health;calves;cow;cows;dairy;fodder;grazing;husbandry;lame;lameness;livestock;maize;mastitis;milk;pasture;rumen;udder;veterinary	dairy	0.0	2	3	5	10.0	12	dairy;farm;sensor	58	
67d418551274e0227fcdaeec	Integrated management of resources (water and soil) in nuts production	en	5	3	5	5	18	22	5	5	5	2	17	21	3	3	1	3	10	12	soil	crop;crops;soil		2.0	3	4	4	13.0	16	resources;use	71	Few keywords (<2)
6878eb5de4df4f63e71d99e9	LEGUMINOSE factsheet: Using Dynamic Innovation Partnerships to facilitate uptake of intercropping innovations	en	5	5	5	5	20	25	5	1	5	2	13	16	2	1	1	1	5	6		soil		2.0	3	2	5	12.0	15	adoption;agrifood;chains;dynamic;innovation;intercropping;partnerships;value	62	
6704f1a70a8de6e500a4fa96	Decision support systems for pest and disease management in tomato cultivation	en	5	5	5	5	20	25	5	1	5	2	13	16	3	1	1	1	6	8		crop;crops		2.0	3	2	5	12.0	15	dacom;decision;disease;dss;evja;ipm;monitoring;pest;prediction;support;systems;tomato	64	
6716b5518c91d2f819cc3c96	Organic Rotational Stocking with White Clover, Forage Self-sufficiency, Short and Local Marketing	en	5	5	4	5	19	24	5	1	5	1	12	15	4	1	1	1	7	9		animal;cows;crop;dairy;fodder;grazing;maize;manure;silage;soil		2.0	3	2	3	10.0	12	grassland	60	
67d4172db95b1fb603b471e9	Mechanised resin extraction method	en	5	5	5	5	20	25	5	3	5	1	14	18	0	1	1	0	2	2				2.0	3	3	5	13.0	16	forest;product;resin	61	
66b1d48045168fd6c4c5658f	To N-fertilize cereal-legume intercrops or not	it	5	3	5	4	17	21	4	3	5	1	13	16	2	1	1	1	5	6		crop;soil;wheat		2.0	3	2	5	12.0	15	cereal;intercropping;intercrops;legume;nfertilize	58	Few keywords (<2); Detected non-EN metadata language: it
67acb0e7b90e38fe8181e9e1	Establishing long-term nitrogen response of global cereals to assess sustainable fertilizer rates.	en	1	5	1	5	12	15	3	4	3	1	11	14	3	3	1	3	10	12	fertilizer	barley;corn;crop;crops;dairy;fertiliser;fertilizer;husbandry;livestock;maize;manure;soil;veterinary;wheat		0.0	2	3	5	10.0	12	cereals;nitrogen;response	53	
